=================================
=  Switzerland

Marvin Akahomen,              D,  1.86 m,  b. 15 Jul 2007
Ilija Maslarov,               M,  1.81 m,  b. 2 Jan 2007

Corsin Konietzke,             M,  1.85 m,  b. 21 Jun 2006
Jason Parente,                M,  1.80 m,  b. 10 Jun 2006
Sascha Meyer,                 M,  1.85 m,  b. 21 Apr 2006
Junior Zé,                    M,  1.78 m,  b. 22 Mar 2006
Eliah Jordan,                 D,  1.74 m,  b. 7 Mar 2006
Marwan Aubert,                G,  1.86 m,  b. 12 Feb 2006

Yannis Ryter,                 M,  1.87 m,  b. 15 Nov 2005 @ Olten
Vasco Tritten,                M,  1.80 m,  b. 29 Aug 2005
Diego Mina,                   G,  1.84 m,  b. 12 Aug 2005
Jashar Dema,                  M,  1.87 m,  b. 10 Aug 2005 @ Riaz
Mats Seiler,                  D,  1.90 m,  b. 4 Aug 2005
Dircssi Ngonzo,               D,  1.87 m,  b. 31 Jul 2005
Labinot Bajrami,              F,  1.83 m,  b. 4 Jun 2005 @ Winterthur
Tiemoko Ouattara,             F,  1.78 m,  b. 25 May 2005
Leon Frokaj,                  M,  1.84 m,  b. 23 Apr 2005 @ Wolhusen
Damian Nigg,                  M,  1.78 m,  b. 12 Apr 2005 @ Bellinzona
Junior Ligue,                 F,  1.80 m,  b. 21 Mar 2005 @ Zürich
Malike Deme,                  M,  1.82 m,  b. 16 Mar 2005 @ Zürich
Samuel Marques,               M,  1.74 m,  b. 4 Feb 2005
Diogo Monteiro,               D,  1.84 m,  b. 28 Jan 2005 @ Geneva
Roméo Beney,                  F,  1.87 m,  b. 19 Jan 2005 @ Yverdon-les-Bains

Attilio Morosoli,             G,  1.80 m,  b. 24 Dec 2004 @ Lugano
Diego Heller,                 G,  1.80 m,  b. 20 Nov 2004
Noah Noverraz,                G,  1.98 m,  b. 25 Sep 2004
Laurin Vögele,                M,  1.80 m,  b. 21 Aug 2004 @ Winterthur
Tim Meyer,                    D,  1.83 m,  b. 8 Jul 2004
Ramon Guzzo,                  D,  1.76 m,  b. 5 Jul 2004 @ Baden
Leny Meyer,                   D,  1.82 m,  b. 1 Jul 2004 @ Vevey
Lendrit Shala,                G,  1.89 m,  b. 4 May 2004 @ Baden
Noe Holenstein,               M,  1.79 m,  b. 25 Mar 2004
Alessio Besio,                F,  1.85 m,  b. 18 Mar 2004 @ St. Gallen
Nando Toggenburger,           F,  1.80 m,  b. 17 Mar 2004 @ Altdorf
