=================================
=  Spain

David Otorbi,                 F,  - ,      b. 16 Oct 2007 @ Valencia
Buba Sangaré,                 D,  - ,      b. 6 Aug 2007 @ Elche
Lamine Yamal,                 F,  1.80 m,  b. 13 Jul 2007 @ Esplugues de Llobregat
Iván Corralejo,               M,  - ,      b. 1 May 2007
Sydney Osazuwa,               F,  - ,      b. 21 Apr 2007
Adrián Arnu,                  F,  1.85 m,  b. 4 Mar 2007 @ Palencia
Pau Cubarsí,                  D,  1.82 m,  b. 22 Jan 2007 @ Estanyol

Jhafets,                      G,  - ,      b. 16 Sep 2006
Victor Musa,                  F,  - ,      b. 5 Sep 2006 @ Tudela
Hugo Barrachina,              D,  - ,      b. 30 Aug 2006 @ Zaragoza
Hugo Martínez,                M,  - ,      b. 23 Aug 2006 @ Albacete
Héctor Fort,                  D,  1.85 m,  b. 2 Aug 2006 @ Barcelona
Rodrigo Marina,               F,  - ,      b. 28 Jul 2006 @ Cáceres
Carlos Jiménez,               D,  - ,      b. 23 Jul 2006
Dani Muñoz,                   M,  - ,      b. 16 Jul 2006 @ Málaga
Alejandro Morata,             D,  1.79 m,  b. 6 Jul 2006
Fran Árbol,                   G,  1.85 m,  b. 30 Jun 2006 @ Granada
Pablo García,                 F,  - ,      b. 13 Jun 2006
Jorge Benito,                 G,  - ,      b. 6 Jun 2006
Daniel Budesca,               D,  1.83 m,  b. 27 May 2006 @ Murcia
Paco Esteban,                 F,  - ,      b. 2 May 2006 @ Málaga
Jon Martín,                   D,  1.85 m,  b. 23 Apr 2006 @ San Sebastián
David Carballo,               M,  - ,      b. 3 Mar 2006
Marco Esteban,                D,  - ,      b. 1 Mar 2006 @ Oviedo
Enric García,                 F,  - ,      b. 28 Feb 2006
Borja Cortina,                D,  - ,      b. 24 Feb 2006 @ Valencia
Pau Prim,                     M,  1.79 m,  b. 22 Feb 2006 @ Barcelona
Jaime Vázquez,                D,  - ,      b. 1 Feb 2006 @ Oviedo
Javier Díaz,                  D,  - ,      b. 21 Jan 2006 @ Madrid
Marc Guiu,                    F,  1.87 m,  b. 4 Jan 2006 @ Granollers

Mario Guilabert,              M,  - ,      b. 22 Dec 2005
Bomba,                        D,  1.82 m,  b. 23 Nov 2005 @ Sant Quirze del Vallès
Aingeru Olabarrieta,          F,  1.82 m,  b. 14 Nov 2005 @ Luiaondo
Siren Diao,                   F,  1.89 m,  b. 21 Oct 2005 @ Figueres
Adam Boayar,                  F,  - ,      b. 13 Oct 2005
Jorge Castellanos,            M,  - ,      b. 5 Oct 2005 @ Madrid
Salvi Esquivel,               G,  - ,      b. 30 Sep 2005 @ Estepona
Victor Moreno,                M,  1.74 m,  b. 30 Sep 2005 @ Estepona
Pablo Busto,                  D,  1.80 m,  b. 15 Sep 2005 @ Seville
Álvaro García,                D,  - ,      b. 15 Sep 2005
Assane Diao,                  F,  1.85 m,  b. 7 Sep 2005 @ Ndongane
Llorenç Serred,               G,  - ,      b. 4 Sep 2005
Alberto Risco,                M,  - ,      b. 30 Aug 2005
Rubén Montero,                G,  1.83 m,  b. 28 Aug 2005 @ Albacete
Carles Sogorb,                D,  1.73 m,  b. 23 Aug 2005 @ Palma de Mallorca
Dani Rodríguez,               M,  - ,      b. 9 Aug 2005 @ Astigarraga
Adrián Sanmartín,             F,  - ,      b. 28 Jul 2005 @ Murcia
Dani Pérez,                   M,  1.73 m,  b. 26 Jul 2005 @ Seville
Carlos Espí,                  F,  1.85 m,  b. 24 Jul 2005 @ Tavernes de la Valldigna
Fran González,                G,  1.99 m,  b. 24 Jun 2005 @ León
Marcos Fernández,             F,  - ,      b. 23 Jun 2005
Andrés Palacios,              M,  1.78 m,  b. 13 Jun 2005 @ Ibiza
